source_table,project,version,transaction_type,events,events_with_usd,usd_coverage_pct,volume_musd,first_event,last_event
lending.borrow,aave,3,borrow,235154,232239,98.760000000000000,57173.27,2026-01-01 00:00:59.000 UTC,2026-08-31 23:59:59.000 UTC
lending.borrow,aave,1,borrow_liquidation,763,763,100.000000000000000,-0.01,2026-01-27 06:08:11.000 UTC,2026-08-20 05:49:47.000 UTC
lending.borrow,aave,2,borrow_liquidation,5350,5350,100.000000000000000,-2.66,2026-01-01 15:18:11.000 UTC,2026-08-31 01:30:11.000 UTC
lending.borrow,aave,3,borrow_liquidation,9389,9315,99.210000000000000,-655.19,2026-01-02 05:05:47.000 UTC,2026-08-31 21:00:35.000 UTC
lending.borrow,aave,1,repay,2,2,100.000000000000000,-0,2026-01-16 06:03:47.000 UTC,2026-05-28 03:40:35.000 UTC
lending.borrow,aave,2,repay,641,641,100.000000000000000,-5.91,2026-01-01 02:23:35.000 UTC,2026-08-31 10:41:11.000 UTC
lending.borrow,aave,3,repay,220676,218018,98.800000000000000,-62088.99,2026-01-01 00:00:35.000 UTC,2026-08-31 23:59:59.000 UTC
lending.supply,aave,3,deposit,464312,454827,97.960000000000000,200893.91,2026-01-01 00:03:23.000 UTC,2026-08-31 23:57:47.000 UTC
lending.supply,aave,1,deposit_liquidation,763,763,100.000000000000000,-0.01,2026-01-27 06:08:11.000 UTC,2026-08-20 05:49:47.000 UTC
lending.supply,aave,2,deposit_liquidation,5350,5350,100.000000000000000,-2.84,2026-01-01 15:18:11.000 UTC,2026-08-31 01:30:11.000 UTC
lending.supply,aave,3,deposit_liquidation,9389,9327,99.340000000000000,-822.19,2026-01-02 05:05:47.000 UTC,2026-08-31 21:00:35.000 UTC
lending.supply,aave,3,repay_with_atokens,3260,3244,99.510000000000000,-944.61,2026-01-01 06:14:35.000 UTC,2026-08-31 18:24:59.000 UTC
lending.supply,aave,1,withdraw,375,375,100.000000000000000,-1.67,2026-01-01 09:24:35.000 UTC,2026-08-31 22:33:35.000 UTC
lending.supply,aave,2,withdraw,2665,2664,99.960000000000000,-48.18,2026-01-01 01:10:47.000 UTC,2026-08-31 22:55:11.000 UTC
lending.supply,aave,3,withdraw,474678,466123,98.200000000000000,-212388.17,2026-01-01 00:00:35.000 UTC,2026-08-31 23:59:59.000 UTC
lending.borrow,aave_etherfi,3,borrow_liquidation,3,3,100.000000000000000,-0,2026-02-16 02:36:11.000 UTC,2026-06-17 03:04:11.000 UTC
lending.borrow,aave_etherfi,3,repay,5,5,100.000000000000000,-0.01,2026-02-02 20:33:23.000 UTC,2026-04-22 08:21:35.000 UTC
lending.supply,aave_etherfi,3,deposit_liquidation,3,3,100.000000000000000,-0,2026-02-16 02:36:11.000 UTC,2026-06-17 03:04:11.000 UTC
lending.supply,aave_etherfi,3,withdraw,5,5,100.000000000000000,-0.05,2026-01-14 21:32:11.000 UTC,2026-08-01 07:42:35.000 UTC
lending.borrow,aave_horizon,3,borrow,378,378,100.000000000000000,398.42,2026-01-01 18:06:23.000 UTC,2026-08-31 13:35:11.000 UTC
lending.borrow,aave_horizon,3,repay,637,637,100.000000000000000,-467.65,2026-01-02 21:06:47.000 UTC,2026-08-28 14:31:35.000 UTC
lending.supply,aave_horizon,3,deposit,1792,1248,69.640000000000000,690.3,2026-01-01 15:14:11.000 UTC,2026-08-31 19:57:47.000 UTC
lending.supply,aave_horizon,3,repay_with_atokens,2,2,100.000000000000000,-0,2026-01-20 19:08:35.000 UTC,2026-03-28 11:24:23.000 UTC
lending.supply,aave_horizon,3,withdraw,2786,2221,79.720000000000000,-783,2026-01-01 00:02:35.000 UTC,2026-08-31 14:15:23.000 UTC
lending.borrow,aave_lido,3,borrow,2109,2109,100.000000000000000,596.88,2026-01-01 04:54:35.000 UTC,2026-08-31 21:55:23.000 UTC
lending.borrow,aave_lido,3,borrow_liquidation,124,124,100.000000000000000,-7.48,2026-01-19 00:04:23.000 UTC,2026-08-28 04:09:47.000 UTC
lending.borrow,aave_lido,3,repay,2337,2337,100.000000000000000,-749.3,2026-01-02 06:19:23.000 UTC,2026-08-31 14:18:35.000 UTC
lending.supply,aave_lido,3,deposit,13190,13093,99.260000000000000,2051.14,2026-01-01 01:44:47.000 UTC,2026-08-31 23:14:11.000 UTC
lending.supply,aave_lido,3,deposit_liquidation,124,124,100.000000000000000,-7.81,2026-01-19 00:04:23.000 UTC,2026-08-28 04:09:47.000 UTC
lending.supply,aave_lido,3,repay_with_atokens,2,2,100.000000000000000,-0.01,2026-02-01 23:06:35.000 UTC,2026-06-24 17:02:35.000 UTC
lending.supply,aave_lido,3,withdraw,14597,14408,98.710000000000000,-2408.78,2026-01-01 00:31:35.000 UTC,2026-08-31 23:49:59.000 UTC
lending.borrow,compound,1,borrow,1,1,100.000000000000000,0,2026-04-25 10:47:23.000 UTC,2026-04-25 10:47:23.000 UTC
lending.borrow,compound,3,borrow,10317,10317,100.000000000000000,1108.23,2026-01-01 01:59:35.000 UTC,2026-08-31 22:10:11.000 UTC
lending.borrow,compound,2,borrow_liquidation,1211,1211,100.000000000000000,-4.3,2026-01-01 04:47:11.000 UTC,2026-08-30 14:08:23.000 UTC
lending.borrow,compound,3,borrow_liquidation,283,283,100.000000000000000,-65.95,2026-01-08 14:22:59.000 UTC,2026-08-19 20:51:47.000 UTC
lending.borrow,compound,2,repay,1473,1473,100.000000000000000,-14.24,2026-01-01 04:47:11.000 UTC,2026-08-31 21:41:59.000 UTC
lending.borrow,compound,3,repay,8431,8431,100.000000000000000,-1184.36,2026-01-01 04:50:59.000 UTC,2026-08-31 23:56:59.000 UTC
lending.supply,compound,3,supply,17845,17779,99.630000000000000,4030.35,2026-01-01 01:56:59.000 UTC,2026-08-31 23:23:47.000 UTC
lending.supply,compound,3,supply_liquidation,412,412,100.000000000000000,-71.03,2026-01-08 14:22:59.000 UTC,2026-08-19 20:51:47.000 UTC
lending.supply,compound,2,withdraw,4786,4786,100.000000000000000,-32.17,2026-01-01 02:24:23.000 UTC,2026-08-31 23:39:59.000 UTC
lending.supply,compound,3,withdraw,16903,16871,99.810000000000000,-4112.79,2026-01-01 00:24:23.000 UTC,2026-08-31 23:59:47.000 UTC
lending.borrow,fluxfinance,1,repay,10,10,100.000000000000000,-0.09,2026-01-10 21:03:47.000 UTC,2026-06-30 16:11:59.000 UTC
lending.supply,fluxfinance,1,deposit,114,114,100.000000000000000,2.36,2026-01-04 19:16:11.000 UTC,2026-08-31 09:34:59.000 UTC
lending.supply,fluxfinance,1,withdraw,217,212,97.700000000000000,-1.19,2026-01-01 10:05:11.000 UTC,2026-08-27 17:18:47.000 UTC
lending.borrow,granary,1,borrow_liquidation,16,16,100.000000000000000,-0,2026-06-07 05:20:47.000 UTC,2026-08-31 11:57:11.000 UTC
lending.borrow,granary,1,repay,1,1,100.000000000000000,-0,2026-01-13 10:57:23.000 UTC,2026-01-13 10:57:23.000 UTC
lending.supply,granary,1,deposit_liquidation,16,16,100.000000000000000,-0,2026-06-07 05:20:47.000 UTC,2026-08-31 11:57:11.000 UTC
lending.supply,granary,1,withdraw,4,4,100.000000000000000,-0,2026-01-13 10:59:23.000 UTC,2026-08-31 11:57:11.000 UTC
lending.borrow,morpho,1,borrow,100941,91320,90.470000000000000,12582.47,2026-01-01 00:03:59.000 UTC,2026-08-31 23:46:47.000 UTC
lending.borrow,morpho,1,borrow_liquidation,2604,2337,89.750000000000000,-109.88,2026-01-01 01:35:11.000 UTC,2026-08-30 15:09:23.000 UTC
lending.borrow,morpho,1,repay,76840,68036,88.540000000000000,-11733.5,2026-01-01 00:09:35.000 UTC,2026-08-31 23:53:23.000 UTC
lending.supply,morpho,1,deposit,632639,555537,87.810000000000000,146334.63,2026-01-01 00:03:35.000 UTC,2026-08-31 23:55:59.000 UTC
