month,protocol,activity,volume_usd,events,unique_wallets,avg_ticket_usd
2026-01-01 00:00:00.000 UTC,aave,Deposit,27882271971.52466,71468,16526,398335
2026-01-01 00:00:00.000 UTC,aave,Withdraw,24887471578.300964,64913,15965,390435
2026-01-01 00:00:00.000 UTC,compound,Deposit,539286818.5206544,2760,722,195535
2026-01-01 00:00:00.000 UTC,compound,Withdraw,610305854.536944,3270,1067,187325
2026-01-01 00:00:00.000 UTC,morpho,Deposit,17787119115.46954,64187,292,289622
2026-01-01 00:00:00.000 UTC,morpho,Withdraw,17542445065.366913,58139,344,315030
2026-01-01 00:00:00.000 UTC,spark,Deposit,2446763710.841888,1956,257,1250902
2026-01-01 00:00:00.000 UTC,spark,Withdraw,1864610225.6279173,1881,338,991287
2026-02-01 00:00:00.000 UTC,aave,Deposit,33858670343.06664,86675,17062,398262
2026-02-01 00:00:00.000 UTC,aave,Withdraw,36097269110.78594,81478,19113,451002
2026-02-01 00:00:00.000 UTC,compound,Deposit,1355362993.4857104,2680,608,506299
2026-02-01 00:00:00.000 UTC,compound,Withdraw,1396201883.6351404,5152,1103,271107
2026-02-01 00:00:00.000 UTC,morpho,Deposit,10417149212.309752,57728,273,193606
2026-02-01 00:00:00.000 UTC,morpho,Withdraw,10257370202.930742,51534,371,209535
2026-02-01 00:00:00.000 UTC,spark,Deposit,1848044232.7387836,2152,355,858757
2026-02-01 00:00:00.000 UTC,spark,Withdraw,2328541304.887945,2151,367,1082539
2026-03-01 00:00:00.000 UTC,aave,Deposit,30026632654.36474,65100,11907,477212
2026-03-01 00:00:00.000 UTC,aave,Withdraw,32114559580.01435,67362,13448,485158
2026-03-01 00:00:00.000 UTC,compound,Deposit,532893559.40454674,1767,461,307853
2026-03-01 00:00:00.000 UTC,compound,Withdraw,583820234.5135908,2110,788,277745
2026-03-01 00:00:00.000 UTC,morpho,Deposit,53678988633.59374,100436,354,603338
2026-03-01 00:00:00.000 UTC,morpho,Withdraw,53370456364.80621,90497,435,674662
2026-03-01 00:00:00.000 UTC,spark,Deposit,2186137449.421268,2067,203,1057638
2026-03-01 00:00:00.000 UTC,spark,Withdraw,2940562739.978445,2742,209,1072415
2026-04-01 00:00:00.000 UTC,aave,Deposit,17763738120.15553,51910,12042,351062
2026-04-01 00:00:00.000 UTC,aave,Withdraw,30753701530.112698,84707,18615,371637
2026-04-01 00:00:00.000 UTC,compound,Deposit,395077344.378027,1779,550,224094
2026-04-01 00:00:00.000 UTC,compound,Withdraw,432982770.2968477,2007,862,216059
2026-04-01 00:00:00.000 UTC,morpho,Deposit,19317956301.898636,82189,365,268603
2026-04-01 00:00:00.000 UTC,morpho,Withdraw,19717123369.485943,79385,501,292036
2026-04-01 00:00:00.000 UTC,spark,Deposit,10343892339.389551,5722,623,1807741
2026-04-01 00:00:00.000 UTC,spark,Withdraw,8376062709.098976,4389,447,1908422
2026-05-01 00:00:00.000 UTC,aave,Deposit,12034706519.230381,45980,10017,266585
2026-05-01 00:00:00.000 UTC,aave,Withdraw,12417771288.93126,45760,10196,277325
2026-05-01 00:00:00.000 UTC,compound,Deposit,570093074.3411922,2017,471,283346
2026-05-01 00:00:00.000 UTC,compound,Withdraw,558778258.9949247,1973,753,283644
2026-05-01 00:00:00.000 UTC,morpho,Deposit,10699715732.625414,76379,391,154493
2026-05-01 00:00:00.000 UTC,morpho,Withdraw,10515935339.337458,71247,534,163708
2026-05-01 00:00:00.000 UTC,spark,Deposit,8931531860.456303,6064,494,1472878
2026-05-01 00:00:00.000 UTC,spark,Withdraw,8358555022.25936,5795,492,1442374
2026-06-01 00:00:00.000 UTC,aave,Deposit,26163604288.983654,53417,11858,496350
2026-06-01 00:00:00.000 UTC,aave,Withdraw,24887018525.036015,47038,12555,536613
2026-06-01 00:00:00.000 UTC,compound,Deposit,276539272.98572457,2826,558,97855
2026-06-01 00:00:00.000 UTC,compound,Withdraw,220369504.17879897,2963,782,74399
2026-06-01 00:00:00.000 UTC,morpho,Deposit,19996586260.13965,83450,458,269463
2026-06-01 00:00:00.000 UTC,morpho,Withdraw,20133376715.741196,81401,627,260373
2026-06-01 00:00:00.000 UTC,spark,Deposit,6802908601.160764,4212,440,1615125
2026-06-01 00:00:00.000 UTC,spark,Withdraw,6258241359.469845,3428,365,1825625
2026-07-01 00:00:00.000 UTC,aave,Deposit,25798684649.888744,42369,10294,620012
2026-07-01 00:00:00.000 UTC,aave,Withdraw,24396536634.083393,38058,9364,652715
2026-07-01 00:00:00.000 UTC,compound,Deposit,179668644.78203812,1690,454,106376
2026-07-01 00:00:00.000 UTC,compound,Withdraw,205495787.2709436,2066,628,99562
2026-07-01 00:00:00.000 UTC,morpho,Deposit,6716487276.3650875,81766,400,93812
2026-07-01 00:00:00.000 UTC,morpho,Withdraw,6555638219.439702,80757,625,84998
2026-07-01 00:00:00.000 UTC,spark,Deposit,6265933272.672288,3461,245,1810440
2026-07-01 00:00:00.000 UTC,spark,Withdraw,6426078706.567633,2827,264,2273109
2026-08-01 00:00:00.000 UTC,aave,Deposit,27365605419.33359,47393,11980,584398
2026-08-01 00:00:00.000 UTC,aave,Withdraw,26883693486.085163,48402,10795,561211
2026-08-01 00:00:00.000 UTC,compound,Deposit,181425799.86895514,2326,500,78100
2026-08-01 00:00:00.000 UTC,compound,Withdraw,136996357.8543429,2148,744,63808
2026-08-01 00:00:00.000 UTC,morpho,Deposit,7720625027.188429,86504,381,119951
2026-08-01 00:00:00.000 UTC,morpho,Withdraw,7513792046.928739,73014,585,110202
2026-08-01 00:00:00.000 UTC,spark,Deposit,5182346190.175325,3155,232,1642582
2026-08-01 00:00:00.000 UTC,spark,Withdraw,5474073020.270958,2756,294,1986238
