month,protocol,activity,volume_usd,events,unique_wallets,avg_ticket_usd
2026-01-01 00:00:00.000 UTC,aave,Borrow,10821186337.726597,32150,8993,344569
2026-01-01 00:00:00.000 UTC,aave,Repay,8830325382.362158,27614,7150,323372
2026-01-01 00:00:00.000 UTC,compound,Borrow,179259633.45078063,1131,345,158497
2026-01-01 00:00:00.000 UTC,compound,Repay,265568394.77904493,1235,390,215035
2026-01-01 00:00:00.000 UTC,morpho,Borrow,1707307304.6077585,8760,229,212802
2026-01-01 00:00:00.000 UTC,morpho,Repay,1403557766.490818,7357,245,211093
2026-01-01 00:00:00.000 UTC,spark,Borrow,975478061.6470139,993,246,982355
2026-01-01 00:00:00.000 UTC,spark,Repay,757257816.9732825,809,270,936042
2026-02-01 00:00:00.000 UTC,aave,Borrow,11288871226.751122,46143,10162,248003
2026-02-01 00:00:00.000 UTC,aave,Repay,14199890498.238258,50605,9897,283052
2026-02-01 00:00:00.000 UTC,compound,Borrow,190589258.15878686,1276,345,149365
2026-02-01 00:00:00.000 UTC,compound,Repay,288926394.0531943,2310,627,125076
2026-02-01 00:00:00.000 UTC,morpho,Borrow,1389485184.4308128,11320,579,130089
2026-02-01 00:00:00.000 UTC,morpho,Repay,1397581088.1492813,10524,279,142960
2026-02-01 00:00:00.000 UTC,spark,Borrow,1228600999.524848,1149,223,1069279
2026-02-01 00:00:00.000 UTC,spark,Repay,1368960302.4968596,1423,357,962024
2026-03-01 00:00:00.000 UTC,aave,Borrow,10536494245.3879,40546,8655,263084
2026-03-01 00:00:00.000 UTC,aave,Repay,10643693540.689095,34862,5894,308156
2026-03-01 00:00:00.000 UTC,compound,Borrow,126284457.80981219,1134,298,111362
2026-03-01 00:00:00.000 UTC,compound,Repay,140927155.39326835,779,277,180908
2026-03-01 00:00:00.000 UTC,morpho,Borrow,2395994001.8210464,26394,626,93703
2026-03-01 00:00:00.000 UTC,morpho,Repay,2126862851.9981978,11755,234,190870
2026-03-01 00:00:00.000 UTC,spark,Borrow,1061749523.8243103,717,168,1480822
2026-03-01 00:00:00.000 UTC,spark,Repay,1356257951.6459348,701,169,1934747
2026-04-01 00:00:00.000 UTC,aave,Borrow,7484260907.236483,24546,6684,310899
2026-04-01 00:00:00.000 UTC,aave,Repay,12145358649.347757,31228,7583,395795
2026-04-01 00:00:00.000 UTC,compound,Borrow,160296954.37560335,1034,334,155026
2026-04-01 00:00:00.000 UTC,compound,Repay,101375837.8404861,604,217,167841
2026-04-01 00:00:00.000 UTC,morpho,Borrow,2391635493.385164,10574,293,267910
2026-04-01 00:00:00.000 UTC,morpho,Repay,2686767454.791872,9120,258,343884
2026-04-01 00:00:00.000 UTC,spark,Borrow,3171786379.7871604,3588,584,883998
2026-04-01 00:00:00.000 UTC,spark,Repay,2557757513.6658263,2584,350,989844
2026-05-01 00:00:00.000 UTC,aave,Borrow,3486149663.4352183,16537,5309,214269
2026-05-01 00:00:00.000 UTC,aave,Repay,4403489823.235613,15257,4070,295101
2026-05-01 00:00:00.000 UTC,compound,Borrow,166808260.3705661,1393,393,119747
2026-05-01 00:00:00.000 UTC,compound,Repay,146097038.14532533,822,232,177734
2026-05-01 00:00:00.000 UTC,morpho,Borrow,1330608895.1620178,10213,300,157543
2026-05-01 00:00:00.000 UTC,morpho,Repay,1099174364.0723164,8325,200,157497
2026-05-01 00:00:00.000 UTC,spark,Borrow,2937371824.2602286,4029,460,729057
2026-05-01 00:00:00.000 UTC,spark,Repay,2764066453.8354626,3863,402,715523
