month,protocol,active_depositors,active_borrowers,active_wallets_total
2026-01-01 00:00:00.000 UTC,aave,16526,8993,20977
2026-01-01 00:00:00.000 UTC,compound,722,345,882
2026-01-01 00:00:00.000 UTC,morpho,292,229,497
2026-01-01 00:00:00.000 UTC,spark,257,246,366
2026-02-01 00:00:00.000 UTC,aave,17062,10162,21955
2026-02-01 00:00:00.000 UTC,compound,608,345,714
2026-02-01 00:00:00.000 UTC,morpho,273,579,837
2026-02-01 00:00:00.000 UTC,spark,355,223,418
2026-03-01 00:00:00.000 UTC,aave,11907,8655,16402
2026-03-01 00:00:00.000 UTC,compound,461,298,597
2026-03-01 00:00:00.000 UTC,morpho,354,626,937
2026-03-01 00:00:00.000 UTC,spark,203,168,268
2026-04-01 00:00:00.000 UTC,aave,12042,6684,15498
2026-04-01 00:00:00.000 UTC,compound,550,334,690
2026-04-01 00:00:00.000 UTC,morpho,365,293,643
2026-04-01 00:00:00.000 UTC,spark,623,584,767
2026-05-01 00:00:00.000 UTC,aave,10017,5309,12707
2026-05-01 00:00:00.000 UTC,compound,471,393,664
2026-05-01 00:00:00.000 UTC,morpho,391,300,674
2026-05-01 00:00:00.000 UTC,spark,494,460,674
2026-06-01 00:00:00.000 UTC,aave,11858,7422,15627
2026-06-01 00:00:00.000 UTC,compound,558,369,669
2026-06-01 00:00:00.000 UTC,morpho,458,373,804
2026-06-01 00:00:00.000 UTC,spark,440,358,551
2026-07-01 00:00:00.000 UTC,aave,10294,5847,13509
2026-07-01 00:00:00.000 UTC,compound,454,300,596
2026-07-01 00:00:00.000 UTC,morpho,400,390,767
2026-07-01 00:00:00.000 UTC,spark,245,301,400
2026-08-01 00:00:00.000 UTC,aave,11980,6482,15750
2026-08-01 00:00:00.000 UTC,compound,500,368,671
2026-08-01 00:00:00.000 UTC,morpho,381,647,1007
2026-08-01 00:00:00.000 UTC,spark,232,315,387
