protocol,side,symbol,symbol_grouped,volume_usd,events,share_pct,rank_in_protocol
aave,Borrow,USDT,USDT,21722554579.473957,81149,37.99,1
aave,Borrow,USDC,USDC,17552598674.26451,71531,30.7,2
aave,Borrow,WETH,WETH,9918066504.049755,32051,17.35,3
aave,Borrow,USDe,USDe,3412179874.4087324,14500,5.97,4
aave,Borrow,DAI,DAI,1241561592.775522,4084,2.17,5
aave,Borrow,WBTC,Other,771055582.0229595,10373,1.35,6
aave,Borrow,GHO,Other,631685694.5392988,4953,1.1,7
aave,Borrow,RLUSD,Other,447387455.18399745,1413,0.78,8
aave,Borrow,PYUSD,Other,447046457.14188284,1495,0.78,9
aave,Borrow,cbBTC,Other,364655124.1641838,2499,0.64,10
aave,Borrow,USDS,Other,346438564.1148515,1096,0.61,11
aave,Borrow,EURC,Other,116691908.51347077,2958,0.2,12
aave,Borrow,wstETH,Other,75765548.63638562,647,0.13,13
aave,Borrow,LINK,Other,55920755.680047214,2522,0.1,14
aave,Borrow,USDG,Other,40155028.2076549,775,0.07,15
aave,Borrow,tBTC,Other,21823261.233890437,281,0.04,16
aave,Borrow,cbETH,Other,5526969.044250405,116,0.01,17
aave,Borrow,crvUSD,Other,1720794.6879456406,153,0,18
aave,Borrow,LUSD,Other,432268.88777203293,60,0,19
aave,Borrow,osETH,Other,4289.98150230386,27,0,20
aave,Borrow,ETHx,Other,1001.7326684946352,5,0,21
aave,Deposit,WETH,WETH,80150839627.56145,130924,39.9,1
aave,Deposit,USDC,USDC,48468798838.969086,122884,24.13,2
aave,Deposit,USDT,USDT,34447831677.08418,85929,17.15,3
aave,Deposit,wstETH,wstETH,11995139162.509209,12944,5.97,4
aave,Deposit,cbBTC,cbBTC,5026209358.740662,10953,2.5,5
aave,Deposit,weETH,Other,4969747311.8616905,4419,2.47,6
aave,Deposit,WBTC,Other,3917135555.791243,42511,1.95,7
aave,Deposit,USDe,Other,3032211128.14864,6041,1.51,8
aave,Deposit,sUSDe,Other,2492322327.1832795,5707,1.24,9
aave,Deposit,rsETH,Other,1795969153.032517,699,0.89,10
aave,Deposit,PYUSD,Other,1100624233.826643,2824,0.55,11
aave,Deposit,AAVE,Other,974590470.9337381,5151,0.49,12
