protocol_combination,protocol_count,borrowers,borrower_share_pct,borrow_volume_usd,volume_share_pct
aave,1,35168,88.000000000000000,38312195650.85191,44.75
morpho,1,2081,5.210000000000000,10241950609.84631,11.96
compound,1,882,2.210000000000000,607678292.7265706,0.71
spark,1,815,2.040000000000000,2340150184.568838,2.73
aave + spark,2,499,1.250000000000000,24456667517.036327,28.56
aave + compound,2,274,0.690000000000000,881765830.4211282,1.03
aave + morpho,2,126,0.320000000000000,2623449135.3853354,3.06
compound + spark,2,13,0.030000000000000,62337370.20398254,0.07
morpho + spark,2,9,0.020000000000000,4491564.413863769,0.01
compound + morpho,2,8,0.020000000000000,6402829.960603564,0.01
aave + compound + spark,3,38,0.100000000000000,430538764.7439901,0.5
aave + morpho + spark,3,24,0.060000000000000,5256506664.085082,6.14
aave + compound + morpho,3,17,0.040000000000000,195008070.784115,0.23
aave + compound + morpho + spark,4,11,0.030000000000000,204001502.97373468,0.24
