month,protocol,debt_repaid_usd,liquidation_events,liquidated_borrowers,unique_liquidators,largest_event_usd,borrow_volume_usd,liquidation_intensity_pct
2026-01-01 00:00:00.000 UTC,aave,134272970.821217,1831,1520,58,13317577.381722761,10821186337.726564,1.24
2026-01-01 00:00:00.000 UTC,compound,14776146.548917236,142,127,25,10184568.185800452,179259633.4507805,8.24
2026-01-01 00:00:00.000 UTC,morpho,18637834.47791708,268,242,35,3688071.0915868506,1707307304.607761,1.09
2026-01-01 00:00:00.000 UTC,spark,968280.0995555123,88,58,13,180836.2180505871,975478061.6470133,0.1
2026-02-01 00:00:00.000 UTC,aave,278882195.5386881,5887,3804,104,18709831.14817752,11288871226.751066,2.47
2026-02-01 00:00:00.000 UTC,compound,15684993.224568706,468,285,42,2779978.9054558068,190589258.158787,8.23
2026-02-01 00:00:00.000 UTC,morpho,18867633.072502516,493,423,40,3101480.28749916,1389485184.4308157,1.36
2026-02-01 00:00:00.000 UTC,spark,1809400.007788226,263,128,18,316326.1264292281,1228600999.5248494,0.15
2026-03-01 00:00:00.000 UTC,aave,38552422.68350643,790,593,75,13002156.927797178,10536494245.387865,0.37
2026-03-01 00:00:00.000 UTC,compound,253533.36613426785,138,95,21,41217.73922304467,126284457.80981208,0.2
2026-03-01 00:00:00.000 UTC,morpho,594630.4860334232,151,133,28,343637.81138301425,2395994001.8210645,0.02
2026-03-01 00:00:00.000 UTC,spark,48028.912158000785,31,21,11,47953.263019512895,1061749523.8243096,0
2026-04-01 00:00:00.000 UTC,aave,10302857.092177868,346,285,62,2882778.3986364845,7484260907.236469,0.14
2026-04-01 00:00:00.000 UTC,compound,452.0569360049635,21,19,6,124.30369226883924,160296954.3756034,0
2026-04-01 00:00:00.000 UTC,morpho,793748.6910229808,140,85,36,229113.4064200634,2391635493.385157,0.03
2026-04-01 00:00:00.000 UTC,spark,4535.0953904002545,5,4,2,2822.6457559439273,3171786379.7871695,0
2026-05-01 00:00:00.000 UTC,aave,3420969.1704794136,461,428,57,426488.64969978656,3486149663.4352174,0.1
2026-05-01 00:00:00.000 UTC,compound,27745526.936374564,35,28,15,27735020.25500726,166808260.3705662,16.63
2026-05-01 00:00:00.000 UTC,morpho,4252729.232497296,453,350,54,787839.1636369549,1330608895.1620114,0.32
2026-05-01 00:00:00.000 UTC,spark,252008.64963359505,36,24,12,236472.70222830525,2937371824.2602406,0.01
2026-06-01 00:00:00.000 UTC,aave,183408867.79763108,5308,4701,110,22594662.27502262,4666486558.405576,3.93
2026-06-01 00:00:00.000 UTC,compound,11345461.414813144,387,324,36,4318818.614549878,125305263.92212759,9.05
2026-06-01 00:00:00.000 UTC,morpho,23300973.051667362,674,480,83,2029353.6165413242,1475116223.944353,1.58
2026-06-01 00:00:00.000 UTC,spark,3580661.0926327673,297,172,22,1494431.0945800305,2072734723.5401378,0.17
2026-07-01 00:00:00.000 UTC,aave,2775475.453330486,415,412,36,1806076.1950260783,5008942900.819782,0.06
2026-07-01 00:00:00.000 UTC,compound,188482.1323156375,270,221,10,45075.061919565436,77139278.17459181,0.24
2026-07-01 00:00:00.000 UTC,morpho,6717207.101558677,297,93,85,2604424.8244635356,836223466.8669853,0.8
2026-07-01 00:00:00.000 UTC,spark,25.693213157868247,24,24,4,1.4872322279812673,1977437961.1610217,0
2026-08-01 00:00:00.000 UTC,aave,6241048.1534925075,464,446,62,2946925.0038482444,3880880088.9826035,0.16
2026-08-01 00:00:00.000 UTC,compound,256604.64771854875,33,19,12,63725.555108431996,82544045.70215613,0.31
2026-08-01 00:00:00.000 UTC,morpho,36713520.47854224,128,87,52,13008137.064882895,1056101493.0619649,3.48
2026-08-01 00:00:00.000 UTC,spark,1337.1201043221392,5,4,4,1152.202063706716,1334013370.2672262,0
