protocol,symbol,debt_repaid_usd,liquidation_events,share_pct,largest_event_usd,largest_event_tx
aave,USDT,396143481.01326877,4099,60.22,22594662.27502262,0x4c2468c5adce696f27fd80b44b1054ea6a7cbda1f6201beb3cb43ccda75757d3
aave,USDC,182321639.6390796,8502,27.71,10160448.686178429,0x29c91c20c028761bac0b3c78ce354543ea61ab4e198ddec2c56d7af5a2b2b083
aave,WETH,50640669.26178398,422,7.7,13002156.927797178,0x9064b507f16bd8b85fb5aea0185153b01fa23b3205f7153f986e5107ce988a9c
aave,DAI,11412385.554354023,820,1.73,1616659.4294871707,0xca08c31d2e9b47e67036f37995316b095841a96cb55d218c5dc7bc1380340e38
aave,USDe,3844060.3895252612,133,0.58,981526.1514379196,0x7ee89e2bc0867db97ce80dbde0a2599dc0a5194882be14a838ee50c6e48ecfbe
aave,WBTC,3138510.9212793116,172,0.48,588266.5723229527,0x59c712824e183465e1ef63a49a626ad92de29dc2c2ec2f67826ca584da98386a
aave,GHO,3117281.7710065027,373,0.47,237220.95698076376,0xd1da0efb57a5e386c67ea75cda7585fa97d6e544719a64506a0403f85f902645
aave,PYUSD,2715874.736125136,84,0.41,1833500.1059528438,0x16eab91844d4b8265a0f84bdfc7c491f8d68ef6b1f444e3d69bd718fe54550fa
aave,EURC,2338701.1061262186,122,0.36,377775.95448836964,0xc953d5da04ee4dc9f421ac5418f05add5244d9816c50420bbf7bb6cbafc1150a
aave,RLUSD,776902.2596005265,23,0.12,609914.9349627317,0x6a1ad975c7dbeb4e48b12745e843df6a2b8d5f7b97eb9adf8a4814241a83a348
aave,cbBTC,433814.9562515484,13,0.07,431078.80767543236,0x0e4b110574393d3968692319bdc21aa81946e86d2c2a3c161a0e9c9b577977dc
aave,wstETH,385897.6063869501,29,0.06,116489.47298261822,0x2a27ae5063abc3e4e9ad5e6759179226897ddfdba3b230b85cc6ca3d0703d0be
aave,USDS,315164.854247081,26,0.05,123545.91556654475,0x854b86a9c807b1af3b2621cc468f1e6d7d0eecc81e73431e4e7bf4bd95694bdf
aave,LINK,149373.5555943686,62,0.02,35074.06021561428,0xb2ad7152bc3ad92941f034fd505bd66f332bb2d757df6ce4841279b9f767eff2
aave,LUSD,59438.85957179733,11,0.01,57922.438226166734,0x85d0601857677db46cb63af25538fab52c62f9612dc8ad272f844b5042a17c5f
aave,crvUSD,30424.168067566425,14,0,18988.406764166753,0x560bb091de24b45ada112e165285ecbc180fbc30b1f023539f5d13fce77ef876
aave,FRAX,12401.379496684403,25,0,12032.263765006452,0xd6b8ca0e3da3294482faa05c638465dfe488a2a1614570063ce2e99c5fce2cbe
aave,RPL,4123.54192922843,7,0,1246.3541811466573,0x8ef162c6cd7d9d1573edbeb91ac887afdcb02c64c9d9fce6901021fe4b62fb6c
aave,GUSD,2923.1456631600004,49,0,929.7277265,0xcc16c3569a55c097c38b5b2d693be0f03a9195a1a28142c4b281cf48f2016689
aave,USDP,2670.7208990365593,13,0,1997.6489309850551,0x770d397eba38ecf6c3170618dc688bc502c07053822cd4aea16eafc43fdff4ee
aave,cbETH,1781.6281936022203,7,0,764.0842878838082,0xd4ec9fd3851404df1a0a6ff5f672249ed19152142ccede159dfa834a1d0779b3
aave,sUSD,1456.2154185131185,43,0,606.3132129677933,0xcaba4e3fd74c6e5d3a96ec9485d41f8b78d72525fbaabc93f078b37bc3aa3b96
aave,TUSD,1390.6163865746653,85,0,399.5835402347664,0x05689a8b6fcf743ff685665ed249e7e9c6ace0bb55c95c4e6a1608253501f69c
aave,MKR,1313.8430075004737,17,0,1017.2506637297746,0xdc503ca63da55338cdd4a2b17e1babb58971be6adf7e3293a1064a4c104d38d6
aave,MANA,1039.5504953989625,9,0,951.805530023655,0xa9b58a89c91f0adac6a5277d37dced11489945797b170d4c47e61421319c0db1
aave,USDG,668.8445899400281,4,0,668.8445899400281,0x1fcbdb70c6b626232fd30d5acf85ffb610277a42e960cae4120f2b180a07a091
aave,AMPL,602.403646260967,7,0,326.02801139456,0x2db41af00f8e56fa5cba45f9b888e85f5a833083fc30fe78cb6826173b3a4b54
aave,ENJ,554.2462936279941,11,0,150.0982512649231,0x56f2338b058a334f85f1a2e25cbdc2a14ce87b2263542aa7f85166e8d468d097
aave,BUSD,531.0639698025097,38,0,143.8344999802043,0xd2c3141f52fcbfde55cdbe2d53350376e410ca9b9857a2a0e63f69d667b16515
aave,UNI,387.10843499889,3,0,382.65682630983315,0xd6092c33c198eab27eb24d79c435dc5d4639b3c9683077a54f8affb07ab1c2ee
aave,LEND,369.01574265157683,62,0,56.3906049808366,0x7cdfa5ad0aaa0b045cf99b80a3205750869c022051fa6a76ea2bcbc16a75d60a
aave,BAT,276.7345607657717,14,0,109.0455864050651,0xe7cbd7bd1b2797db2467052e9e81753cb0f3593c92d1ef35e2db62288bd977eb
aave,RAI,141.22287758393327,2,0,93.73760567680559,0x27b1b68ab4189f4afd40e5e47bb7cf703c27a31d88e1e2056c79d7a4d0d7a011
aave,KNC,98.18467790333226,11,0,21.274966195205078,0x4766ec75decc1f7192f7e7ec8cbda37b90337ab66081e213241f873cd59f6b44
aave,ETHx,81.4181952900695,1,0,81.4181952900695,0x21318fdc194b198c400446d807aaae74ae711861a57048ccda01da9acec6feb9
aave,CRV,78.5250430686531,76,0,12.430318346124615,0x5a9a84b45793da64bce910837b3e23ed0f127ca1e77bebcf36fa73757a6ef902
aave,1INCH,56.0147722200836,2,0,51.945960095168665,0x837a9b337a32c5666986d234a79747c4b0d16798875146947a402fee5672141f
aave,weETH,50.452434178596135,4,0,40.65320885727819,0x2b78c58c2cfcf554ce1fced109610598f683f4ff5050d80fcc5699ff9b4e7b9f
aave,BAL,39.26206063246449,3,0,27.619235546314822,0x7b4a1227666810ab0e971792486294c736adbf022a726d93b4bafec4a9e9741b
aave,YFI,36.31206917714979,7,0,12.808267271378162,0x94de8cddbb40067c63947961b564f4e1201046f267ba5016af25124acd8dbf9c
aave,SNX,26.304925134733857,6,0,9.192315603082045,0x96d4bda142f0db7b74681c6f14668f8cd368b37736ef0d8e5fc2821d5b7fe21b
aave,CVX,24.619755919099536,1,0,24.619755919099536,0xf432e219e76c88e97bcc209502614ac0068373c32fc5404e6f365638efffd30a
aave,ZRX,22.81568193404707,3,0,16.27224259277823,0xbf12335188049677e21aff4fddde4c2780a96c41b1faf8f12201fe144cfea35d
aave,REN,16.499186380560968,5,0,12.32294801700161,0x48ab8403e171ac59d9dc0c48f575256282198164474872c4264701c89adf3169
aave,rETH,9.361854600946929,3,0,9.039729182371914,0x1b2ae971ca1ab583aba992f6ac1f0919f40ad3970bb9f6df58be8f31aa2b535b
aave,osETH,7.626252733818906,2,0,5.746812869233173,0x6924466a7016cea7c0c4db60009e4a704602270a9761e26a914a5e478e5f8d1d
aave,LDO,3.5269171252624623,1,0,3.5269171252624623,0xba01f3fff310f0e95cb0f24717e3e9a7376b20d33c344ebbc473e747a9bbc616
